FID,name,descriptio,riders_15,lexington,riders_17,POINT_X,POINT_Y
206,Nostrand Av,AC,5762163.000000000000000,0,5762163.000000000000000,-73.950476600000002,40.680442800000002
207,Ocean Parkway,Q* Closed for construction 	11/21/2014-12/1/2014,1022215.000000000000000,0,1022215.000000000000000,-73.968501099999997,40.576314699999998
208,Park Pl,S,602858.000000000000000,0,602858.000000000000000,-73.957643500000003,40.674779700000002
209,Parkside Av,"Q* Closed for construction 	7/8/2013-10/28/2013, 2/24/2014-6/19/2014",1692567.000000000000000,0,1692567.000000000000000,-73.961548800000003,40.655345699999998
210,Pennsylvania Av,3,2111790.000000000000000,0,2111790.000000000000000,-73.894901300000001,40.664591399999999
211,President St,25,1243976.000000000000000,0,1243976.000000000000000,-73.950691199999994,40.667911699999998
212,Prospect Av,R,1785990.000000000000000,0,1785990.000000000000000,-73.992919900000004,40.665437799999999
213,Prospect Park,BQS,3327301.000000000000000,0,3327301.000000000000000,-73.962364199999996,40.661628999999998
214,Ralph Av,C,1867793.000000000000000,0,1867793.000000000000000,-73.920907999999997,40.678848000000002
215,Rockaway Av,3* Closed for construction (-239.48% change),526505.000000000000000,0,526505.000000000000000,-73.908891699999998,40.662540499999999
216,Rockaway Av,C,1721297.000000000000000,0,1721297.000000000000000,-73.911981600000004,40.678359800000003
217,Saratoga Av,3,2442282.000000000000000,0,2442282.000000000000000,-73.916487700000005,40.661401099999999
218,Sheepshead Bay,BQ,4296566.000000000000000,0,4296566.000000000000000,-73.954167400000003,40.586809799999997
219,Shepherd Av,C,1059106.000000000000000,0,1059106.000000000000000,-73.880782100000005,40.674096100000000
220,Sterling St,25,1822524.000000000000000,0,1822524.000000000000000,-73.950862900000004,40.662670700000000
221,Sutter Av,L,1453567.000000000000000,0,1453567.000000000000000,-73.901982300000000,40.669311399999998
222,Sutter Av-Rutland Rd,3,2420464.000000000000000,0,2420464.000000000000000,-73.922538799999998,40.664754100000003
223,Union St,R,2073096.000000000000000,0,2073096.000000000000000,-73.983135200000007,40.677350900000000
224,Utica Av,AC,5060099.000000000000000,0,5060099.000000000000000,-73.930735600000006,40.679303699999998
225,Van Siclen Av,3* Closed for construction (-236.56% change),304082.000000000000000,0,304082.000000000000000,-73.889365200000000,40.665437799999999
226,Van Siclen Av,C,1019100.000000000000000,0,1019100.000000000000000,-73.890352199999995,40.672696600000002
227,Van Siclen Av,JZ,966461.000000000000000,0,966461.000000000000000,-73.891725500000007,40.678066899999997
228,West 8 St-New York Aquarium,FQ* Closed for construction 	11/21/2014-12/1/2014,789416.000000000000000,0,789416.000000000000000,-73.976011299999996,40.576151799999998
229,Wilson Av,L,1407098.000000000000000,0,1407098.000000000000000,-73.904085199999997,40.688904000000001
230,Winthop St,25,2241716.000000000000000,0,2241716.000000000000000,-73.950219200000006,40.656647999999997
231,York St,F,2900416.000000000000000,0,2900416.000000000000000,-73.986740100000006,40.701398500000003
232,1 Av,L,7702110.000000000000000,0,7702110.000000000000000,-73.982577300000003,40.731356400000003
233,103 St,1,4258632.000000000000000,0,4258632.000000000000000,-73.968565499999997,40.799159199999998
234,103 St,6 *Closed for construction,4031201.000000000000000,1,3507144.870000000100000,-73.947665700000002,40.790305799999999
235,103 St,BC,1521132.000000000000000,0,1521132.000000000000000,-73.961462999999995,40.796121499999998
236,110 St,6,4209449.000000000000000,1,3662220.629999999900000,-73.944446999999997,40.794789500000000
237,116 St,23,3948545.000000000000000,0,3948545.000000000000000,-73.949682699999997,40.802066699999997
238,116 St,6,5324072.000000000000000,1,4631942.639999999700000,-73.941657500000005,40.798639399999999
239,116 St,BC,2246138.000000000000000,0,2246138.000000000000000,-73.955390499999993,40.804438099999999
240,116 St-Columbia U,1,4846181.000000000000000,0,4846181.000000000000000,-73.963887700000001,40.808027500000001
241,125 St,1,2555321.000000000000000,0,2555321.000000000000000,-73.958351600000000,40.815595600000002
242,125 St,23,5121518.000000000000000,0,5121518.000000000000000,-73.945498499999999,40.807751400000001
243,125 St,456,9586567.000000000000000,1,8340313.290000000000000,-73.937473299999994,40.804356900000002
244,125 St,ABCD,9558837.000000000000000,0,9558837.000000000000000,-73.952557999999996,40.810788500000001
245,135 St,23,4949583.000000000000000,0,4949583.000000000000000,-73.940842200000006,40.814101500000000
246,135 St,BC,1693561.000000000000000,0,1693561.000000000000000,-73.948030500000002,40.817089600000003
247,137 St-City College,1,4646578.000000000000000,0,4646578.000000000000000,-73.954210300000000,40.821425300000001
248,14 St-8 Av,ACEL,14763727.000000000000000,0,14763727.000000000000000,-74.002575899999997,40.739762399999996
249,14 St-6 Av,FML,16121318.000000000000000,0,16121318.000000000000000,-73.996846700000006,40.737356200000001
250,14 St,123,16121318.000000000000000,0,16121318.000000000000000,-73.999722000000006,40.738543000000000
251,14 St-Union Sq,LNQR456,35320623.000000000000000,1,30728942.010000002000000,-73.990752700000002,40.734803499999998
252,145 St,1,3338110.000000000000000,0,3338110.000000000000000,-73.950476600000002,40.826475199999997
253,145 St,3,1137484.000000000000000,0,1137484.000000000000000,-73.936185800000004,40.820450999999998
254,145 St,ABCD,7923696.000000000000000,0,7923696.000000000000000,-73.944833299999999,40.824039599999999
255,155 St,BD,1306282.000000000000000,0,1306282.000000000000000,-73.938245800000004,40.830112200000002
256,155 St,C,842826.000000000000000,0,842826.000000000000000,-73.941378599999993,40.830907699999997
257,157 St,1,3516545.000000000000000,0,3516545.000000000000000,-73.944897699999999,40.834024900000003
258,163 St-Amsterdam Av,C,1395260.000000000000000,0,1395260.000000000000000,-73.939855100000003,40.835973099999997
259,168 St,AC1,8009233.000000000000000,0,8009233.000000000000000,-73.939597599999999,40.840762099999999
260,175 St,A,4197373.000000000000000,0,4197373.000000000000000,-73.940069699999995,40.846540900000001
261,181 St,A,3628174.000000000000000,0,3628174.000000000000000,-73.933782600000001,40.849348900000003
262,181 St,1,3779275.000000000000000,0,3779275.000000000000000,-73.938331599999998,40.850939599999997
263,18 St,1,2676304.000000000000000,0,2676304.000000000000000,-73.997833700000001,40.741079300000003
264,190 St,A,1530460.000000000000000,0,1530460.000000000000000,-73.934083000000001,40.858973400000004
265,191 St,1,2713440.000000000000000,0,2713440.000000000000000,-73.929383799999997,40.855240700000003
266,207 St,1,2090297.000000000000000,0,2090297.000000000000000,-73.918869500000000,40.864604600000000
267,215 St,1,615177.000000000000000,0,615177.000000000000000,-73.915200200000001,40.869456499999998
268,2 Av,F,5847710.000000000000000,0,5847710.000000000000000,-73.989980200000005,40.723372200000000
269,23 St,1,4884678.000000000000000,0,4884678.000000000000000,-73.995644999999996,40.744103199999998
270,23 St,6,8627481.000000000000000,1,7505908.469999999700000,-73.986396799999994,40.740201399999997
