station,asr_10,asr_11,asr_12,asr_13,asr_14,asr_15,wkd_10,wkd_11,wkd_12,wkd_13,wkd_14,wkd_15,wke_10,wke_11,wke_12,wke_13,wke_14,wke_15,uid,name,descriptio,riders_15,lexington,latitude,longitude,wkd_17_e
Sutphin Blvd  F subway,1465324.0,1470022.0,1468970.0,1550363.0,1468419.0,1506607.0,4605.0,4693.0,4760.0,4932.0,4795.0,4851.0,5366.0,5100.0,5086.0,5397.0,4502.0,4959.0,sutphinblvdf,Sutphin Blvd,F,1506607.0,0,40.7054327,-73.8107443,4851.0
Sutter Av-Rutland Rd 3 subway,2317306.0,2370949.0,2288256.0,2419794.0,2467381.0,2420464.0,7461.0,7621.0,7713.0,7831.0,8084.0,8031.0,7605.0,7952.0,6469.0,7764.0,7490.0,6748.0,sutterav-rutlandrd3,Sutter Av-Rutland Rd,3,2420464.0,0,40.6647541,-73.9225388,8031.0
Sutter Av  L subway,1280175.0,1303422.0,1383957.0,1449524.0,1499122.0,1453567.0,4050.0,4201.0,4437.0,4555.0,4675.0,4727.0,4527.0,4299.0,4989.0,5279.0,5625.0,4488.0,sutteravl,Sutter Av,L,1453567.0,0,40.6693114,-73.9019823,4727.0
Times Sq-42 St N subway Q subway R subway S subway 1 subway 2 subway 3 subway 7 subway/42 St A subway C subway E subway,58422597.0,60604822.0,62069437.0,63617614.0,65948730.0,66359208.0,182170.0,189426.0,195464.0,197696.0,204908.0,206247.0,220521.0,228807.0,239674.0,242742.0,251718.0,253004.0,timessq-42stnqrs1237/42stace,Times St-42 St,NQRS1237,66359208.0,0,40.7559535,-73.9867401,206247.0
Tremont Av  B subway D subway,2709632.0,2772602.0,2791329.0,2952385.0,3130848.0,3155197.0,8513.0,8767.0,8882.0,9157.0,9727.0,9980.0,9896.0,9987.0,10412.0,11386.0,12001.0,11209.0,tremontavbd,Tremont Av,BD,3155197.0,0,40.8494302,-73.9059734,9980.0
Union St  R subway,2126492.0,2228520.0,2148505.0,2058555.0,2065047.0,2073096.0,6738.0,7010.0,6935.0,6528.0,6415.0,6599.0,7670.0,8361.0,7627.0,7321.0,7992.0,7252.0,unionstr,Union St,R,2073096.0,0,40.6773509,-73.9831352,6599.0
Utica Av  A subway C subway ,4272623.0,4437282.0,4530536.0,4726582.0,4878678.0,5060099.0,13584.0,13977.0,14327.0,14673.0,15117.0,15674.0,14866.0,16306.0,17320.0,18127.0,18822.0,19583.0,uticaavac,Utica Av,AC,5060099.0,0,40.6793037,-73.9307356,15674.0
Van Cortlandt Park-242 St 1 subway,1878788.0,1937333.0,2041551.0,2148667.0,2188428.0,2266986.0,6148.0,6504.0,6641.0,6943.0,7107.0,7338.0,5688.0,5173.0,6968.0,6966.0,6927.0,7302.0,vancortlandtpark-242st1,Van Cortlandt Park-242 St,1,2266986.0,0,40.8892172,-73.8985491,7338.0
Van Siclen Av  3 subway,1023416.0,1061359.0,1016466.0,1060055.0,1048755.0,304082.0,3302.0,3415.0,3431.0,3431.0,3438.0,989.0,3305.0,3529.0,2834.0,3388.0,3159.0,967.0,vansiclenav3,Van Siclen Av,3* Closed for construction (-236.56% change),304082.0,0,40.6654378,-73.8893652,989.0
Van Siclen Av  C subway,893234.0,901530.0,897528.0,941172.0,967947.0,1019100.0,2829.0,2854.0,2864.0,2974.0,3050.0,3202.0,3141.0,3232.0,3307.0,3351.0,3488.0,3718.0,vansiclenavc,Van Siclen Av,C,1019100.0,0,40.6726966,-73.8903522,3202.0
Van Siclen Av  J subway Z subway ,828566.0,886663.0,893665.0,913115.0,943663.0,966461.0,2615.0,2765.0,2829.0,2883.0,2940.0,3004.0,2984.0,3382.0,3393.0,3265.0,3562.0,3681.0,vansiclenavjz,Van Siclen Av,JZ,966461.0,0,40.6780669,-73.8917255,3004.0
Vernon Blvd-Jackson Av 7 subway,3110952.0,3170128.0,3357030.0,3726974.0,4169876.0,4462652.0,10028.0,10450.0,11541.0,12610.0,14123.0,14819.0,10371.0,9441.0,8612.0,9491.0,10347.0,12582.0,vernonblvd-jacksonav7,Vernon Blvd-Jackson Av,7,4462652.0,0,40.74264,-73.9535666,14819.0
Wakefield-241 St2 subway,1471501.0,1560698.0,1603076.0,1528793.0,1669608.0,1654707.0,4582.0,4955.0,5048.0,4825.0,5168.0,5186.0,5553.0,5508.0,6195.0,5443.0,6451.0,6094.0,wakefield-241st2,Wakefield-241 St,2* Closed for construction 8/10/2014-8/26/2014,1654707.0,0,40.9031663,-73.8507414,5186.0
Wall St  2 subway 3 subway,6919577.0,7016078.0,7034940.0,7473489.0,7845023.0,7650853.0,25371.0,25559.0,25682.0,26706.0,28075.0,27242.0,8760.0,9611.0,11514.0,12562.0,12869.0,13262.0,wallst23,Wall St,23,7650853.0,0,40.7063843,-74.0094638,27242.0
Wall St  4 subway 5 subway,6393591.0,6526692.0,6658687.0,7231884.0,7437325.0,6708745.0,22551.0,22986.0,23992.0,25078.0,25619.0,23595.0,12254.0,12756.0,12233.0,15682.0,16810.0,12913.0,wallst45,Wall St,45,6708745.0,1,40.7075148,-74.0118456,20528.0
West 4 St-Washington Sq A subway B subway C subway D subway E subway F subway M subway,12295023.0,12506322.0,12727443.0,13533369.0,13942101.0,14147148.0,37175.0,37873.0,39157.0,40798.0,41968.0,42760.0,52758.0,54015.0,54177.0,58299.0,60412.0,60441.0,west4st-washingtonsqabcdefm,W4 St-Washington Sq,ABCD,14147148.0,0,40.7316979,-74.0009558,42760.0
West 8 St-New York Aquarium F subway Q subway,867792.0,814749.0,767921.0,702810.0,741345.0,789416.0,2506.0,2478.0,2285.0,2069.0,2262.0,2397.0,3889.0,3251.0,3427.0,3077.0,2967.0,3138.0,west8st-newyorkaquariumfq,West 8 St-New York Aquarium,FQ* Closed for construction 	11/21/2014-12/1/2014,789416.0,0,40.5761518,-73.9760113,2397.0
Westchester Sq-East Tremont Av 6 subway,1885522.0,1993343.0,1964525.0,2043649.0,2177402.0,2056555.0,6359.0,6663.0,6663.0,6820.0,7351.0,6912.0,4949.0,5557.0,5512.0,5674.0,5619.0,5464.0,westchestersq-easttremontav6,Westchester Sq-East Tremont Av,6,2056555.0,0,40.8399504,-73.8430166,6912.0
West Farms Sq-East Tremont Av 2 subway 5 subway,2520377.0,2391352.0,2428999.0,2514240.0,2567773.0,2437882.0,8052.0,7749.0,7842.0,7979.0,8170.0,8010.0,8673.0,7785.0,8494.0,8803.0,8875.0,7230.0,westfarmssq-easttremontav25,West Farms Sq-East Tremont Av,25,2437882.0,0,40.8403076,-73.8800526,8010.0
Whitlock Av 6 subway ,163461.0,726747.0,524988.0,534489.0,543798.0,545079.0,524.0,2342.0,1691.0,1685.0,1707.0,1737.0,536.0,2422.0,1857.0,1933.0,2002.0,1864.0,whitlockav6,Whitlock Av,6* Closed for construction 	2/8/2010-9/13/2010,545079.0,0,40.8265077,-73.8863182,1737.0
Wilson Av L subway,1089448.0,1093030.0,1115994.0,1243700.0,1393045.0,1407098.0,3400.0,3532.0,3566.0,3865.0,4248.0,4437.0,4074.0,3551.0,4064.0,4745.0,5689.0,5011.0,wilsonavl,Wilson Av,L,1407098.0,0,40.688904,-73.9040852,4437.0
Winthrop St  2 subway 5 subway,2110081.0,2173945.0,2171267.0,2275444.0,2263671.0,2241716.0,7185.0,7409.0,7524.0,7639.0,7720.0,7541.0,5146.0,5311.0,5287.0,6064.0,5481.0,5868.0,winthropst25,Winthop St,25,2241716.0,0,40.656648,-73.9502192,7541.0
Woodhaven Blvd J subway Z subway,1285323.0,1357800.0,1328319.0,1398536.0,1505920.0,1551590.0,4260.0,4433.0,4464.0,4576.0,4796.0,4940.0,3667.0,4227.0,3835.0,4255.0,5226.0,5388.0,woodhavenblvdjz,Woodhaven Blvd,JZ,1551590.0,0,40.6939151,-73.8515568,4940.0
Woodhaven Blvd M subway R subway,7307038.0,7241776.0,7157320.0,7157254.0,7125205.0,7120037.0,22673.0,22502.0,22521.0,22276.0,22156.0,22220.0,27994.0,28011.0,27847.0,27194.0,27105.0,26745.0,woodhavenblvdmr,Woodhaven Blvd,MR,7120037.0,0,40.733145,-73.8693237,22220.0
Woodlawn  4 subway,2379276.0,2494092.0,2417765.0,2423278.0,2375663.0,2418890.0,7513.0,7852.0,7797.0,7776.0,7683.0,7637.0,8589.0,9240.0,8577.0,8125.0,7686.0,8724.0,woodlawn4,Woodlawn,4,2418890.0,0,40.8859729,-73.8787651,7637.0
Woodside-61 St 7 subway,5394103.0,5382589.0,5273308.0,5330760.0,5356621.0,5432682.0,16680.0,16734.0,16698.0,16559.0,16807.0,17007.0,21032.0,20841.0,20030.0,20432.0,19669.0,20127.0,woodside-61st7,Woodside-61 St,7,5432682.0,0,40.7457614,-73.9029694,17007.0
York St  F subway,2041208.0,2251649.0,2344141.0,2666502.0,2760385.0,2900416.0,6621.0,7426.0,7798.0,8629.0,8973.0,9328.0,6591.0,6794.0,7260.0,8672.0,8783.0,9691.0,yorkstf,York St,F,2900416.0,0,40.7013985,-73.9867401,9328.0
Zerega Av6 subway ,759280.0,825755.0,849815.0,985388.0,599478.0,492883.0,2539.0,2741.0,2849.0,3253.0,2012.0,1647.0,2081.0,2380.0,2523.0,2885.0,1576.0,1327.0,zeregaav6,Zerega Av,6* Closed for construction 7/5/2014-Present,492883.0,0,40.8365738,-73.846879,1647.0
96 St Q subway,,,,,,,,,,,,,,,,,,,96stq,96 St,Q,,0,40.7841,-73.9472,66666.0
86 St Q subway,,,,,,,,,,,,,,,,,,,86stq,86 St,Q,,0,40.777861,-73.95175,66666.0
72 St Q subway,,,,,,,,,,,,,,,,,,,72stq,72 St,Q,,0,40.768889,-73.958333,66666.0
